Location ID,Year,Latitude,Longitude,Start GPS,End GPS,Present
O0201,2020,34.565627,-93.602873,"34.565627, -93.602873","34.5654523, -93.6024065",0
O0301,2020,34.591998,-93.637147,"34.591998, -93.637147","34.592290, -93.637330",0
O0501,2020,34.564463,-93.690375,"34.564463, -93.690375","34.564663, -93.691217",0
O0701,2020,34.57078,-93.642962,"34.570780, -93.642962","34.571120, -93.643235",0
O0801,2020,34.575713,-93.72391,"34.575713, -93.723910","34.576113, -93.723678",0
O0901,2020,34.55841,-93.698747,"34.558410, -93.698747","34.559203, -93.698747",0
O1101,2020,34.559523,-93.671852,"34.559523, -93.671852","34.5578608, -93.6716565",0
O1301,2020,34.581023,-93.617987,"34.581023, -93.617987","34.581592, -93.618303",0
O1401,2020,34.5774045,-93.539784,"34.5774045, -93.5397840","34.5774045, -93.5397840",0
O1701,2020,34.55781,-93.641913,"34.557810, -93.641913","34.558470, -93.644013",0
O1801,2020,34.565703,-93.598865,"34.565703, -93.598865","34.565283, -93.598857",0
O1901,2020,34.53897,-93.677032,"34.538970, -93.677032","34.537963, -93.676828",0
O2001,2020,34.532907,-93.722795,"34.532907, -93.722795","34.532670, -93.723680",0
O2101,2020,34.537777,-93.762142,"34.537777, -93.762142","34.536528, -93.761197",0
O2201,2020,34.541492,-93.276071,"34.541492, -93.276071","34.541492, -93.276071",0
O2301,2020,34.5284847,-93.3141525,"34.5284847, -93.3141525","34.5283786, -93.3134146",0
O2401,2020,34.540837,-93.594492,"34.540837, -93.594492","34.540640, -93.594713",0
O2601,2020,34.500157,-93.538858,"34.500157, -93.538858","34.499910, -93.539208",0
O2701,2020,34.4988583,-93.3324284,"34.4988583, -93.3324284","34.4992325, -93.3331433",1
O2901,2020,34.521198,-93.517563,"34.521198, -93.517563","34.520422, -93.517605",0
O3001,2020,34.524332,-93.639135,"34.524332, -93.639135","34.523902, -93.638742",0
O3301,2020,34.530765,-93.654582,"34.530765, -93.654582","34.530765, -93.654582",0
O4101,2020,34.5229447,-93.3961131,"34.5229447, -93.3961131","34.5229447, -93.3961131",0
O4901,2020,34.523842,-93.909292,"34.523842, -93.909292","34.522633, -93.908278",0
OHist1601,2020,34.498063,-93.972353,"34.498063, -93.972353","34.496735, -93.972012",1
C0101,2020,34.409903,-93.443807,"34.409903, -93.443807","34.409982, -93.444477",0
C0301,2020,34.393093,-93.591365,"34.393093, -93.591365","34.392892, -93.590630",0
C0701,2020,34.47427,-93.80766,"34.474270, -93.807660","34.522638, -93.908252",1
C0801,2020,34.476543,-93.804495,"34.476543, -93.804495","34.4763918, -93.8050062",1
C0901,2020,34.44982,-93.743753,"34.449820, -93.743753","34.450233, -93.743957",1
C1001,2020,34.44972,-93.790665,"34.449720, -93.790665","34.449720, -93.790665",1
C1301,2020,34.394302,-93.819168,"34.394302, -93.819168","34.394640, -93.818535",0
C1401,2020,34.384955,-93.49664,"34.384955, -93.496640","34.385968, -93.496363",0
C1601,2020,34.399425,-93.492445,"34.399425, -93.492445","34.399805, -93.492665",0
C1801,2020,34.373985,-93.7411637,"34.373985, -93.7411637","34.374100, -93.742347",0
C2101,2020,34.322698,-93.56478,"34.322698, -93.564780","34.322648, -93.565798",1
C2401,2020,34.366087,-93.764722,"34.366087, -93.764722","34.366230, -93.766693",0
C2501,2020,34.346898,-93.410993,"34.346898, -93.410993","34.347828, -93.410898",0
C2701,2020,34.491885,-93.727355,"34.491885, -93.727355","34.492155, -93.727997",1
C2801,2020,34.476145,-93.680928,"34.476145, -93.680928","34.477020, -93.680823",1
C3101,2020,34.383465,-93.608077,"34.383465, -93.608077","34.383058, -93.608370",1
C3201,2020,34.374852,-93.803912,"34.374852, -93.803912","34.374638, -93.804750",0
C3501,2020,34.343393,-93.657733,"34.343393, -93.657733","34.342688, -93.658922",0
C3701,2020,34.483685,-93.592233,"34.483685, -93.592233","34.483792, -93.592765",0
C3801,2020,34.481962,-93.608815,"34.481962, -93.608815","34.482440, -93.608757",0
C4001,2020,34.469672,-93.717943,"34.469672, -93.717943","34.740160, -93.718452",1
C4101,2020,34.479402,-93.640802,"34.479402, -93.640802","34.479318, -93.640193",0
C4601,2020,34.319685,-93.519047,"34.319685, -93.519047","34.319898, -93.519942",0
CHist0901,2020,34.476755,-93.736692,"34.4767550, -93.7366920","34.4773017, -93.7364261",1
CHist1001,2020,34.4510039,-93.842946,"34.4510039, -93.8429460","34.4510039, -93.8429460",1